Unit,Tags,Bed/Bath,Sqft,Unit Status,Rent Ready,Days Vacant,Last Rent,Scheduled Rent,New Rent,Last Move In,Last Move Out,Available On,Next Move In,Description
124,,2/2.00,"1,075",Vacant-Unrented,No,46,"3,399.00","3,399.00",,08/01/2022,01/31/2025,02/10/2025,,
125,,1/1.00,845,Vacant-Unrented,Yes,18,"2,499.00","2,499.00",,01/31/2021,02/28/2025,03/10/2025,,
203,,2/2.00,"1,195",Vacant-Unrented,Yes,18,"3,499.00","3,499.00",,02/27/2024,02/28/2025,,,
206,,1/1.00,845,Notice-Unrented,Yes,,"2,649.00","2,649.00",,08/29/2018,03/22/2025,04/01/2025,,
208,,2/2.00,"1,075",Vacant-Unrented,No,178,,"3,666.00",,09/14/2024,09/21/2024,10/01/2024,,
209,,1.00,558,Vacant-Unrented,No,46,"2,267.00","2,267.00",,08/25/2022,01/31/2025,,,
224,,1/1.00,785,Vacant-Unrented,No,77,"2,459.00","2,459.00",,05/01/2022,12/31/2024,01/10/2025,,
226,,2/2.00,"1,075",Notice-Unrented,Yes,,"3,379.00","3,379.00",,04/28/2022,04/30/2025,05/10/2025,,
229,,1/1.00,845,Vacant-Unrented,No,91,"1,794.00","2,549.00",,07/01/2019,12/17/2024,12/27/2024,,
230,,3/3.00,"1,384",Vacant-Unrented,Yes,1,"4,629.00","4,629.00",,10/24/2024,03/17/2025,03/27/2025,,
302,,1/1.00,945,Vacant-Unrented,No,46,"2,609.00","2,609.00",,09/15/2023,01/31/2025,02/10/2025,,
304,,1/1.00,945,Vacant-Unrented,No,30,"2,649.00","2,649.00",,08/14/2024,02/16/2025,02/26/2025,,
407,,2/2.00,"1,075",Vacant-Unrented,No,108,"3,656.00","3,656.00",,11/01/2021,11/30/2024,12/10/2024,,
409,,1.00,558,Vacant-Unrented,No,138,"2,139.00","2,267.00",,10/26/2023,10/31/2024,11/10/2024,,
420,,1/1.00,845,Vacant-Unrented,Yes,4,"2,649.00","2,649.00",,04/12/2024,03/14/2025,03/24/2025,,
431,,1/1.00,945,Vacant-Unrented,No,135,"2,649.00","2,807.00",,03/30/2019,11/03/2024,,,
510,,1/1.00,845,Vacant-Unrented,No,77,"2,499.00","2,499.00",,02/21/2018,12/31/2024,01/10/2025,,
605,,1.00,558,Vacant-Unrented,No,46,"2,219.00","2,219.00",,04/01/2024,01/31/2025,02/10/2025,,
610,,1/1.00,845,Vacant-Rented,Yes,76,"2,499.00","2,499.00",,12/20/2018,01/01/2025,,04/25/2025,
612,,1/1.00,945,Vacant-Unrented,Yes,17,"2,649.00","2,649.00",,03/01/2023,03/01/2025,03/11/2025,,
621,,1/1.00,845,Vacant-Unrented,Yes,18,"2,649.00","2,649.00",,08/20/2022,02/28/2025,,,
626,,2/2.00,"1,075",Vacant-Unrented,No,68,"3,379.00","3,379.00",,01/17/2024,01/09/2025,01/19/2025,,
704,,1/1.00,945,Notice-Unrented,No,,"2,649.00","2,649.00",,10/16/2023,04/01/2025,04/11/2025,,
717,,1/1.00,845,Vacant-Unrented,No,18,"2,549.00","2,549.00",,09/18/2024,02/28/2025,03/10/2025,,
721,,1/1.00,845,Vacant-Unrented,Yes,0,,"2,549.00",,,,08/01/2023,,Model unit
808,,2/2.00,"1,075",Vacant-Rented,No,32,"3,459.00","3,885.00",,07/15/2024,02/14/2025,02/24/2025,04/01/2025,
911,,2/2.00,"1,195",Vacant-Unrented,No,107,"3,499.00","3,708.00",,11/19/2022,12/01/2024,12/11/2024,,
919,,1/1.00,845,Notice-Unrented,Yes,,"2,499.00","2,499.00",,02/01/2022,04/30/2025,05/10/2025,,
1011,,2/2.00,"1,195",Vacant-Unrented,No,108,"3,499.00","3,762.00",,11/01/2022,11/30/2024,12/10/2024,,
1024,,1/1.00,785,Vacant-Unrented,No,108,"2,369.00","2,511.00",,11/05/2023,11/30/2024,12/10/2024,,
1033,,3/2.00,"1,755",Vacant-Unrented,Yes,17,"4,175.00","4,175.00",,03/01/2021,03/01/2025,03/11/2025,,
1106,,1/1.00,845,Vacant-Unrented,No,18,"2,499.00","2,499.00",,06/01/2018,02/28/2025,03/10/2025,,
1107,,2/2.00,"1,075",Vacant-Unrented,Yes,3,"3,557.00","3,557.00",,10/08/2022,03/15/2025,03/25/2025,,
1111,,2/2.00,"1,195",Vacant-Unrented,Yes,231,"3,499.00","3,762.00",,09/01/2021,07/30/2024,,,
1120,,1/1.00,845,Vacant-Unrented,Yes,18,"2,572.00","2,572.00",,10/20/2023,02/28/2025,03/10/2025,,
1127,,1/1.00,945,Vacant-Unrented,No,46,"2,691.00","2,691.00",,08/12/2022,01/31/2025,02/10/2025,,
,,,"46,203",,,,"140,550.00","154,285.00",0.00,,,,,

Total,,,"46,203",,,,"140,550.00","154,285.00",0.00,,,,,
